College Code,Category,Autonomous Status,Co.Ed Status,District,College Name,COURSE,TOTAL
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,CE,59
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,CS,59
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,EC,118
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,EE,59
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,ME,117
1516 Total,,,,,,,412
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,CE,118
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,CS,58
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,EC,59
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,EE,59
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,EI,59
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,IB,117
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,IT,59
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,ME,118
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,PR,58
2005 Total,,,,,,,705
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,CE,59
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,CS,59
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,EC,59
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,EE,59
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,ME,58
2369 Total,,,,,,,294
2603,GOVT,Autonomous,Co.Ed,KRISHNAGIRI,Government College of Engineering (Autonomous)  Bargur  Krishnagiri District 635104,CS,59
2603,GOVT,Autonomous,Co.Ed,KRISHNAGIRI,Government College of Engineering (Autonomous)  Bargur  Krishnagiri District 635104,EC,58
2603,GOVT,Autonomous,Co.Ed,KRISHNAGIRI,Government College of Engineering (Autonomous)  Bargur  Krishnagiri District 635104,EE,59
2603,GOVT,Autonomous,Co.Ed,KRISHNAGIRI,Government College of Engineering (Autonomous)  Bargur  Krishnagiri District 635104,ME,59
2603 Total,,,,,,,235
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,CE,117
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,CS,59
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,EC,59
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,EE,58
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,ME,118
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,MT,59
2615 Total,,,,,,,470
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,AU,39
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,CE,38
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,CS,38
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,EC,38
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,EE,38
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,IT,38
2709,GOVT,Non Autonomous,Co.Ed,ERODE,Government College of Engineering (Formerly Institute of Road and Transport Technology)  Vasavi College Post  Erode District 638316,ME,38
2709 Total,,,,,,,267
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,CE,59
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,CS,59
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,EC,58
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,EE,59
3464,GOVT,Non Autonomous,Co.Ed,THANJAVUR,Government College of Engineering  Gandarvakottai Road  Sengipatti  Thanjavur District 613402,ME,59
3464 Total,,,,,,,294
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,CE,59
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,CS,59
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,EC,59
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,EE,59
3465,GOVT,Non Autonomous,Co.Ed,TRICHIRAPPALLI,Government College of Engineering  Srirangam  Sethurappatti  Tiruchirappalli District 620012,ME,58
3465 Total,,,,,,,294
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,CE,59
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,CS,58
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,EC,118
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,EE,59
4974,GOVT,Non Autonomous,Co.Ed,TIRUNELVELI,Government College of Engineering  Tirunelveli District 627007,ME,118
4974 Total,,,,,,,412
5009,GOVT,Non Autonomous,Co.Ed,THENI,Government College of Engineering  Melachokkanathapuram  Bodinayakkanur  Theni District 625582,CE,59
5009,GOVT,Non Autonomous,Co.Ed,THENI,Government College of Engineering  Melachokkanathapuram  Bodinayakkanur  Theni District 625582,CS,59
