college code,category,autonomous status,co.ed status,district,college name,course,total,oc,bc,bcm,mbc,sc,sca,st,general,7.5% reservation
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,CE,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,CS,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,EC,118.0,36.58,31.27,4.13,23.6,17.7,3.54,1.18,109.15,8.85
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,EE,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,ME,117.0,36.27,31.005,4.095,23.4,17.55,3.51,1.17,108.22500000000001,8.775
1516 Total,,,,,,,412.0,127.72,109.18,14.42,82.4,61.8,12.36,4.12,381.1,30.9
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,CE,118.0,36.58,31.27,4.13,23.6,17.7,3.54,1.18,109.15,8.85
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,CS,58.0,17.98,15.37,2.03,11.6,8.7,1.74,0.58,53.650000000000006,4.35
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,EC,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,EE,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,EI,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,IB,117.0,36.27,31.005,4.095,23.4,17.55,3.51,1.17,108.22500000000001,8.775
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,IT,59.0,18.29,15.635,2.065,11.8,8.85,1.77,0.59,54.575,4.425
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,ME,118.0,36.58,31.27,4.13,23.6,17.7,3.54,1.18,109.15,8.85
