college code,category,autonomous status,co.ed status,district,college name,course,total,oc,bc,bcm,mbc,sc,sca,st,general,7.5% reservation,OC,OC_7.5,BC,BC_7.5,BCM,BCM_7.5,MBC,MBC_7.5,SC,SC_7.5,SCA,SCA_7.5,ST,ST_7.5,Rounded_OC,Rounded_OC_7.5,Rounded_BC,Rounded_BC_7.5,Rounded_BCM,Rounded_BCM_7.5
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,CE,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,CS,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,EC,118.0000,36.5800,31.2700,4.1300,23.6000,17.7000,3.5400,1.1800,109.1500,8.8500,33.8365,2.7435,28.9248,2.3453,3.8203,0.3098,21.8300,1.7700,16.3725,1.3275,3.2745,0.2655,1.0915,0.0885,34,3,29,2,4,1
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,EE,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,ME,117.0000,36.2700,31.0050,4.0950,23.4000,17.5500,3.5100,1.1700,108.2250,8.7750,33.5498,2.7203,28.6796,2.3254,3.7879,0.3071,21.6450,1.7550,16.2338,1.3162,3.2468,0.2632,1.0823,0.0878,34,3,29,2,4,1
1516 Total,,,,,,,412.0000,127.7200,109.1800,14.4200,82.4000,61.8000,12.3600,4.1200,381.1000,30.9000,118.1410,9.5790,100.9915,8.1885,13.3385,1.0815,76.2200,6.1800,57.1650,4.6350,11.4330,0.9270,3.8110,0.3090,118,10,101,8,13,1
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,CE,118.0000,36.5800,31.2700,4.1300,23.6000,17.7000,3.5400,1.1800,109.1500,8.8500,33.8365,2.7435,28.9248,2.3453,3.8203,0.3098,21.8300,1.7700,16.3725,1.3275,3.2745,0.2655,1.0915,0.0885,34,3,29,2,4,1
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,CS,58.0000,17.9800,15.3700,2.0300,11.6000,8.7000,1.7400,0.5800,53.6500,4.3500,16.6315,1.3485,14.2173,1.1527,1.8778,0.1522,10.7300,0.8700,8.0475,0.6525,1.6095,0.1305,0.5365,0.0435,17,1,14,1,2,0
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,EC,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,EE,59.0000,18.2900,15.6350,2.0650,11.8000,8.8500,1.7700,0.5900,54.5750,4.4250,16.9183,1.3718,14.4624,1.1726,1.9101,0.1549,10.9150,0.8850,8.1862,0.6637,1.6373,0.1327,0.5458,0.0442,17,1,15,1,2,0
