College Code,Category,Autonomous Status,Co.Ed Status,District,College Name,COURSE,TOTAL,Processed
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,CE,59,15161516
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,CS,59,15161516
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,EC,118,15161516
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,EE,59,15161516
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,ME,117,15161516
1516 Total,,,,,,,412,1516 Total1516 Total
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,CE,118,20052005
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,CS,58,20052005
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,EC,59,20052005
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,EE,59,20052005
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,EI,59,20052005
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,IB,117,20052005
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,IT,59,20052005
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,ME,118,20052005
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,PR,58,20052005
