College Code,Category,Autonomous Status,Co.Ed Status,District,College Name,COURSE,TOTAL,OC,BC,BCM,MBC,SC,SCA,ST
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,CE,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,CS,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,EC,118,36.58,31.27,4.13,23.6,17.7,3.54,1.18
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,EE,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
1516,GOVT,Non Autonomous,Co.Ed,VELLORE,Thanthai Periyar Government Institute of Technology  Bagayam  Vellore District 632002,ME,117,36.27,31.005,4.095,23.4,17.55,3.51,1.17
1516 Total,,,,,,,412,127.72,109.18,14.42,82.4,61.8,12.36,4.12
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,CE,118,36.58,31.27,4.13,23.6,17.7,3.54,1.18
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,CS,58,17.98,15.37,2.03,11.6,8.7,1.74,0.58
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,EC,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,EE,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,EI,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,IB,117,36.27,31.005,4.095,23.4,17.55,3.51,1.17
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,IT,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,ME,118,36.58,31.27,4.13,23.6,17.7,3.54,1.18
2005,GOVT,Autonomous,Co.Ed,COIMBATORE,Government College of Technology (Autonomous)  Thadagam Road  Coimbatore District 641013,PR,58,17.98,15.37,2.03,11.6,8.7,1.74,0.58
2005 Total,,,,,,,705,218.55,186.825,24.675,141,105.75,21.15,7.05
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,CE,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,CS,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,EC,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,EE,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
2369,GOVT,Non Autonomous,Co.Ed,DHARMAPURI,Government College of Engineering  Chettikkarai Post  Dharmapuri District 635704,ME,58,17.98,15.37,2.03,11.6,8.7,1.74,0.58
2369 Total,,,,,,,294,91.14,77.91,10.29,58.8,44.1,8.82,2.94
2603,GOVT,Autonomous,Co.Ed,KRISHNAGIRI,Government College of Engineering (Autonomous)  Bargur  Krishnagiri District 635104,CS,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
2603,GOVT,Autonomous,Co.Ed,KRISHNAGIRI,Government College of Engineering (Autonomous)  Bargur  Krishnagiri District 635104,EC,58,17.98,15.37,2.03,11.6,8.7,1.74,0.58
2603,GOVT,Autonomous,Co.Ed,KRISHNAGIRI,Government College of Engineering (Autonomous)  Bargur  Krishnagiri District 635104,EE,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
2603,GOVT,Autonomous,Co.Ed,KRISHNAGIRI,Government College of Engineering (Autonomous)  Bargur  Krishnagiri District 635104,ME,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
2603 Total,,,,,,,235,72.85,62.275,8.225,47,35.25,7.05,2.35
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,CE,117,36.27,31.005,4.095,23.4,17.55,3.51,1.17
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,CS,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,EC,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,EE,58,17.98,15.37,2.03,11.6,8.7,1.74,0.58
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,ME,118,36.58,31.27,4.13,23.6,17.7,3.54,1.18
2615,GOVT,Autonomous,Co.Ed,SALEM,Government College of Engineering (Autonomous)  Karuppur  Salem District 636011,MT,59,18.29,15.635,2.065,11.8,8.85,1.77,0.59
2615 Total,,,,,,,470,145.7,124.55,16.45,94,70.5,14.1,4.7
